origin,ori_ts,destination,des_ts,cost,k
16.0,1528259863.0,1.0,1528260587.0,0.21789000984119064,1.0
16.0,1528259863.0,4.0,1528260587.0,0.014834631012026152,1.0
5.0,1528260225.0,1.0,1528260587.0,0.10626230029215102,1.0
1.0,1528260587.0,8.0,1528260225.0,0.46277729299117293,1.0
10.0,1528260587.0,3.0,1528261311.0,0.04777961894976011,1.0
8.0,1528260949.0,3.0,1528261311.0,0.2440142426046007,1.0
8.0,1528260949.0,14.0,1528261673.0,0.07915806557055947,1.0
10.0,1528261311.0,7.0,1528262035.0,0.3043785717854412,1.0
16.0,1528261311.0,7.0,1528262035.0,0.34413814407400733,1.0
14.0,1528261673.0,8.0,1528260949.0,0.01814798842391047,1.0
1.0,1528262035.0,12.0,1528262759.0,0.07495662262063262,1.0
6.0,1528262035.0,1.0,1528262397.0,0.25380056686421026,1.0
11.0,1528262397.0,1.0,1528263121.0,0.08411238598843757,1.0
15.0,1528262397.0,2.0,1528262759.0,0.3839430368545016,1.0
16.0,1528262397.0,1.0,1528263121.0,0.21789000984119064,1.0
16.0,1528262397.0,12.0,1528264207.0,0.142578667488145,1.0
6.0,1528262397.0,2.0,1528262759.0,0.19184703137732037,1.0
7.0,1528262397.0,2.0,1528262759.0,0.4165280517839413,1.0
16.0,1528262759.0,12.0,1528263845.0,0.314452799507113,1.0
7.0,1528262759.0,1.0,1528262035.0,0.10094979729750274,1.0
11.0,1528263121.0,2.0,1528263845.0,0.019091141878169505,1.0
14.0,1528263121.0,12.0,1528263845.0,0.303047338873016,1.0
4.0,1528263121.0,12.0,1528263845.0,0.21038108928146862,2.0
6.0,1528263121.0,10.0,1528263845.0,0.17315069556984655,1.0
10.0,1528263483.0,8.0,1528264569.0,0.026192476289378767,1.0
15.0,1528263483.0,4.0,1528263121.0,0.2759275927592759,1.0
8.0,1528263483.0,2.0,1528263845.0,0.37353442532166936,2.0
8.0,1528263483.0,4.0,1528263845.0,0.18842633175427706,1.0
8.0,1528263483.0,12.0,1528264207.0,0.30436654118361456,1.0
1.0,1528263845.0,11.0,1528264569.0,0.046610298124919666,3.0
11.0,1528263845.0,8.0,1528264569.0,0.31825779083508704,1.0
2.0,1528263845.0,8.0,1528263483.0,0.3872912008584693,1.0
7.0,1528263845.0,2.0,1528264569.0,0.16694389643211743,1.0
7.0,1528263845.0,16.0,1528265293.0,0.1008543785570596,1.0
8.0,1528263845.0,11.0,1528264931.0,0.04575515848101663,1.0
12.0,1528264207.0,8.0,1528263483.0,0.37537960355585004,1.0
14.0,1528264207.0,16.0,1528265293.0,0.17170557606699646,1.0
4.0,1528264207.0,14.0,1528264569.0,0.054222816743913896,1.0
4.0,1528264207.0,12.0,1528264931.0,0.21038108928146862,1.0
4.0,1528264207.0,12.0,1528265293.0,0.18442836607779706,1.0
7.0,1528264207.0,12.0,1528264931.0,0.3727501526972176,1.0
10.0,1528264569.0,3.0,1528265293.0,0.04777961894976011,1.0
16.0,1528264569.0,11.0,1528265654.0,0.27338576117361935,1.0
2.0,1528264569.0,7.0,1528264207.0,0.33636186977293303,1.0
4.0,1528264569.0,6.0,1528264931.0,0.031134830167570803,1.0
4.0,1528264569.0,11.0,1528265293.0,0.12347500995775976,1.0
4.0,1528264569.0,16.0,1528265293.0,0.12422886173944604,1.0
7.0,1528264569.0,1.0,1528264931.0,0.4495251013512486,1.0
7.0,1528264569.0,16.0,1528265293.0,0.4495728107214702,1.0
9.0,1528264569.0,2.0,1528265293.0,0.12639944240116005,1.0
1.0,1528264931.0,7.0,1528264569.0,0.42402087526551524,1.0
12.0,1528264931.0,7.0,1528264207.0,0.3658129375912629,2.0
14.0,1528264931.0,12.0,1528265654.0,0.3040099806701527,1.0
2.0,1528264931.0,7.0,1528264569.0,0.33636186977293303,1.0
10.0,1528265293.0,8.0,1528266378.0,0.025247547674011016,1.0
12.0,1528265293.0,9.0,1528264569.0,0.4373438901297373,1.0
15.0,1528265293.0,11.0,1528266378.0,0.049172254057668445,1.0
8.0,1528265293.0,1.0,1528266016.0,0.17554285528465866,1.0
10.0,1528265654.0,15.0,1528266378.0,0.34071117594724964,1.0
14.0,1528265654.0,8.0,1528266378.0,0.01814798842391047,1.0
5.0,1528265654.0,15.0,1528266378.0,0.1797083643604237,1.0
6.0,1528265654.0,13.0,1528266378.0,0.012195275396804253,1.0
6.0,1528265654.0,16.0,1528266740.0,0.04974655533126313,1.0
8.0,1528265654.0,13.0,1528266378.0,0.0649606934788757,1.0
12.0,1528266016.0,14.0,1528267102.0,0.029234695473784357,1.0
13.0,1528266016.0,14.0,1528267102.0,0.15645243976324746,1.0
11.0,1528266378.0,13.0,1528266016.0,0.23032600583846627,1.0
15.0,1528266378.0,8.0,1528265654.0,0.276676307652345,1.0
6.0,1528266378.0,15.0,1528266740.0,0.46484299350863423,1.0
7.0,1528266378.0,2.0,1528266740.0,0.4165280517839413,1.0
8.0,1528266378.0,14.0,1528265654.0,0.07915806557055947,1.0
11.0,1528266740.0,3.0,1528267464.0,0.04219298131969851,1.0
11.0,1528266740.0,4.0,1528267464.0,0.09210836514298039,1.0
11.0,1528266740.0,6.0,1528267826.0,0.18751988767767697,1.0
12.0,1528266740.0,8.0,1528266016.0,0.37537960355585004,1.0
14.0,1528266740.0,12.0,1528267464.0,0.303047338873016,1.0
3.0,1528266740.0,14.0,1528267102.0,0.08858362874637453,1.0
5.0,1528266740.0,14.0,1528267102.0,0.39016275242123916,1.0
7.0,1528266740.0,12.0,1528267464.0,0.3727501526972176,1.0
11.0,1528267102.0,15.0,1528268188.0,0.014391159651388494,1.0
6.0,1528267102.0,3.0,1528267464.0,0.03744250361815237,1.0
6.0,1528267102.0,12.0,1528267826.0,0.26254588716544636,1.0
12.0,1528267464.0,7.0,1528266740.0,0.3658129375912629,1.0
5.0,1528267464.0,8.0,1528267826.0,0.10028805694530397,2.0
7.0,1528267464.0,11.0,1528268550.0,0.004566801379752981,3.0
11.0,1528267826.0,3.0,1528268188.0,0.47890350934015075,1.0
15.0,1528267826.0,3.0,1528268188.0,0.434257431622509,1.0
16.0,1528267826.0,3.0,1528268550.0,0.20140394069652137,1.0
16.0,1528267826.0,5.0,1528268911.0,0.12688636623287594,1.0
5.0,1528267826.0,15.0,1528268188.0,0.41014581781978815,4.0
5.0,1528267826.0,7.0,1528268188.0,0.05941288656311544,1.0
1.0,1528268188.0,11.0,1528268550.0,0.47669485093754016,1.0
13.0,1528268188.0,2.0,1528269273.0,0.005534610779331009,1.0
16.0,1528268188.0,11.0,1528269273.0,0.27338576117361935,1.0
16.0,1528268188.0,3.0,1528269273.0,0.1967910557241358,3.0
16.0,1528268188.0,11.0,1528269635.0,0.03095778471726006,2.0
7.0,1528268188.0,5.0,1528267826.0,0.08920965035211355,1.0
14.0,1528268550.0,12.0,1528269273.0,0.3040099806701527,1.0
15.0,1528268550.0,3.0,1528268911.0,0.4358202563970325,1.0
